,header,pub_time,url
0,达观数据获1.6亿B轮融资，晨山资本领投,4小时前,https://news.pedaily.cn/201811/438185.shtml
1,一村资本私有化项目创梦天地赴港IPO闯关成功,2018-11-23 14:01,https://pe.pedaily.cn/201811/438118.shtml
2,在线英语启蒙教育叽里呱啦完成B轮融资 红杉中国领投、贝塔斯曼基金跟投,2018-11-23 07:29,https://pe.pedaily.cn/201811/438101.shtml
3,深圳首支村集体产业投资基金成立 规模3亿元,2018-11-22 19:21,https://pe.pedaily.cn/201811/438094.shtml
4,深创投中金苏宁云创REITs成功设立 49.2亿元规模创年度单笔发行纪录,2018-11-22 19:14,https://pe.pedaily.cn/201811/438093.shtml
5,达观数据完成1.6亿元B轮融资，宽带旗下基金晨山资本领投,2018-11-22 14:05,https://pe.pedaily.cn/201811/438080.shtml
6,光大控股发起设立20亿元江苏溧阳光控母基金 旗下母基金总规模达171亿元,2018-11-22 10:03,https://news.pedaily.cn/201811/438074.shtml
7,熵简科技获近亿元 A 轮融资，小米领投,2018-11-22 09:18,https://pe.pedaily.cn/201811/438072.shtml
8,声网Agora完成C轮7000万美元融资，  Coatue领投,2018-11-21 21:35,https://pe.pedaily.cn/201811/438055.shtml
9,薪人薪事获金蝶集团1.84亿元C轮战略投资,2018-11-21 21:04,https://pe.pedaily.cn/201811/438054.shtml
10,纺织品B2B平台“百布” 完成1亿美金C2轮融资，老虎环球基金领投,2018-11-21 17:17,https://pe.pedaily.cn/201811/438041.shtml
11,高顿教育完成8亿元C轮融资，由高瓴资本与摩根士丹利联合领投,2018-11-21 08:18,https://pe.pedaily.cn/201811/438015.shtml
12,拼多多发布2018年Q3财报：GMV增长386%至3448亿，现金及投资储备增至225亿元,2018-11-20 19:05,https://news.pedaily.cn/201811/438004.shtml
13,艾艺荷马获过亿元B轮融资，达晨创投领投，汉能投资集团等跟投,2018-11-20 15:00,https://pe.pedaily.cn/201811/437994.shtml
14,一村资本子公司一村同威设立2支基金，总规模25亿元,2018-11-20 12:14,https://pe.pedaily.cn/201811/437990.shtml
15,酒店智能前台开发商“睿沃科技”获数千万元天使轮投资，投资方为起点资本、东霖资本,2018-11-20 10:28,https://news.pedaily.cn/201811/437991.shtml
16,广州金控与中科院创投共同设立科技成果投资基金 目标规模10亿元,2018-11-20 09:20,https://pe.pedaily.cn/201811/437986.shtml
17,短视频 APP 动次完成数千万元 A 轮融资，坤言资本领投,2018-11-20 08:23,https://pe.pedaily.cn/201811/437978.shtml
18,新东方在线通过港交所聆讯，计划募资2-3亿美元,2018-11-20 08:14,https://news.pedaily.cn/201811/437973.shtml
19,点滴关怀完成B+轮融资，加速发展积分制员工福利平台,2018-11-20 08:04,https://pe.pedaily.cn/201811/437970.shtml
